title,reference,term_id,date,id,created_at,updated_at
"2019 discharge: European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",A9-0098/2021,1,2021-04-26,186,2021-08-13 09:52:15,2021-08-13 09:52:15
2019 discharge: European Joint Undertaking for ITER and the Development of Fusion Energy,A9-0110/2021,1,2021-04-26,187,2021-08-13 09:52:16,2021-08-13 09:52:16
2019 discharge: SESAR Joint Undertaking,A9-0106/2021,1,2021-04-26,188,2021-08-13 09:52:17,2021-08-13 09:52:17
2019 discharge: Clean Sky 2 Joint Undertaking,A9-0109/2021,1,2021-04-26,189,2021-08-13 09:52:18,2021-08-13 09:52:18
2019 discharge: Bio-Based Industries Joint Undertaking,A9-0105/2021,1,2021-04-26,190,2021-08-13 09:52:19,2021-08-13 09:52:19
2019 discharge: Innovative Medicines Initiative 2 Joint Undertaking,A9-0113/2021,1,2021-04-26,191,2021-08-13 09:52:20,2021-08-13 09:52:20
2019 discharge: Fuel Cells and Hydrogen 2 Joint Undertaking,A9-0107/2021,1,2021-04-26,192,2021-08-13 09:52:22,2021-08-13 09:52:22
2019 discharge: Shift2Rail Joint Undertaking,A9-0111/2021,1,2021-04-26,193,2021-08-13 09:52:23,2021-08-13 09:52:23
2019 discharge: ECSEL Joint Undertaking,A9-0108/2021,1,2021-04-26,194,2021-08-13 09:52:24,2021-08-13 09:52:24
"2019 discharge: EU general budget – 8th, 9th, 10th and 11th EDFs",A9-0095/2021,1,2021-04-26,195,2021-08-13 09:52:24,2021-08-13 09:52:24
"Report on discharge in respect of the implementation of the budget of the European Union agencies for the financial year 2019: performance, financial management and control",A9-0100/2021,1,2021-04-26,196,2021-08-13 09:52:25,2021-08-13 09:52:25
Just Transition Fund ***I,A9-0135/2020,1,2021-05-17,197,2021-08-13 15:32:48,2021-08-13 15:32:48
Review of the European Union Solidarity Fund,A9-0052/2021,1,2021-05-17,198,2021-08-13 15:32:49,2021-08-13 15:32:49
"Exchange, assistance and training programme for the protection of the euro against counterfeiting for the period 2021-2027 (Pericles IV programme) extension to the non-participating Member States ***",A9-0165/2021,1,2021-05-17,199,2021-08-13 15:32:51,2021-08-13 15:32:51
EU/Cuba Agreement: modification of concessions on all the tariff-rate quotas included in the EU Schedule CLXXV as a consequence of the United Kingdom’s withdrawal from the European Union ***,A9-0129/2021,1,2021-05-17,200,2021-08-13 15:32:52,2021-08-13 15:32:52
Protocol to the Euro-Mediterranean Association Agreement EU/Tunisia (accession of Croatia) ***,A9-0150/2021,1,2021-05-17,201,2021-08-13 15:32:53,2021-08-13 15:32:53
Protocol to the EU/Central America Association Agreement (accession of Croatia) ***,A9-0148/2021,1,2021-05-17,202,2021-08-13 15:32:54,2021-08-13 15:32:54
Agreement EU/USA/Iceland/Norway: Time Limitations on Arrangements for the Provision of Aircraft with Crew ***,A9-0125/2021,1,2021-05-17,203,2021-08-13 15:32:55,2021-08-13 15:32:55
Dock dues scheme in the French outermost regions *,A9-0138/2021,1,2021-05-17,204,2021-08-13 15:32:56,2021-08-13 15:32:56
Securing the objectives of the landing obligation under Article 15 of the Common Fisheries Policy,A9-0147/2021,1,2021-05-17,205,2021-08-13 15:32:57,2021-08-13 15:32:57
"Common system of value added tax: exemptions on importations and on certain supplies, in respect of Union measures in the public interest *",A9-0155/2021,1,2021-05-17,206,2021-08-13 15:32:58,2021-08-13 15:32:58
Mobilisation of the European Globalisation Adjustment Fund: application EGF/2020/002 EE/Tourism – Estonia,A9-0158/2021,1,2021-05-17,207,2021-08-13 15:32:59,2021-08-13 15:32:59
ETIAS consequential amendments: police and judicial cooperation ***I,A9-0254/2020,1,2021-06-07,208,2021-08-14 15:52:25,2021-08-14 15:52:25
ETIAS consequential amendments: borders and visa ***I,A9-0255/2020,1,2021-06-07,209,2021-08-14 15:52:27,2021-08-14 15:52:27
Mobilisation of the European Globalisation Adjustment Fund: application EGF/2020/003 DE/GMH Guss - Germany,A9-0189/2021,1,2021-06-07,210,2021-08-14 15:52:29,2021-08-14 15:52:29
Mobilisation of the European Globalisation Adjustment Fund: application EGF/2020/005 BE/Swissport – Belgium,A9-0188/2021,1,2021-06-07,211,2021-08-14 15:52:30,2021-08-14 15:52:30
Mobilisation of the European Globalisation Adjustment Fund: application EGF/2020/004 NL/KLM - Netherlands,A9-0187/2021,1,2021-06-07,212,2021-08-14 15:52:31,2021-08-14 15:52:31
Mobilisation of the European Globalisation Adjustment Fund: application EGF/2020/007 FI/Finnair - Finland,A9-0186/2021,1,2021-06-07,213,2021-08-14 15:52:33,2021-08-14 15:52:33
ETIAS consequential amendments: ECRIS-TCN ***I,A9-0083/2021,1,2021-06-07,214,2021-08-14 15:52:34,2021-08-14 15:52:34
EU Digital COVID Certificate – Union citizens ***I,C9-0104/2021,1,2021-06-07,215,2021-08-14 15:52:35,2021-08-14 15:52:35
EU Digital COVID Certificate – third-country nationals ***I,C9-0100/2021,1,2021-06-07,216,2021-08-14 15:52:35,2021-08-14 15:52:35
Competition policy – annual report 2020,A9-0168/2021,1,2021-06-07,217,2021-08-14 15:52:35,2021-08-14 15:52:35
The gender dimension in Cohesion Policy,A9-0154/2021,1,2021-06-07,218,2021-08-14 15:52:37,2021-08-14 15:52:37
EU Biodiversity Strategy for 2030: Bringing nature back into our lives,A9-0179/2021,1,2021-06-07,219,2021-08-14 15:52:38,2021-08-14 15:52:38
75th and the 76th sessions of the United Nations General Assembly,A9-0173/2021,1,2021-06-07,220,2021-08-14 15:52:40,2021-08-14 15:52:40
"Neighbourhood, Development and International Cooperation Instrument 2021-2027 – Global Europe ***II",A9-0198/2021,1,2021-06-07,221,2021-08-14 15:52:41,2021-08-14 15:52:41
Regulations and general conditions governing the performance of the Ombudsman’s duties,A9-0174/2021,1,2021-06-07,222,2021-08-14 15:52:43,2021-08-14 15:52:43
Transitional provisions in order to address the impact of COVID-19 crisis (amendment of Regulation (EU) 2016/1628) ***I,C9-0185/2021,1,2021-06-07,223,2021-08-14 15:52:44,2021-08-14 15:52:44
The conflict of interest of the Prime Minister of the Czech Republic,B9-0303/2021,1,2021-06-07,224,2021-08-14 15:52:45,2021-08-14 15:52:45
"Meeting the Global COVID-19 challenge: effects of the waiver of the WTO TRIPS Agreement on COVID-19 vaccines, treatment, equipment and increasing production and manufacturing capacity in developing countries",B9-0306/2021,1,2021-06-07,225,2021-08-14 15:52:47,2021-08-14 15:52:47
Objection pursuant to Rule 112(2) and (3): Maximum residue limit for imidacloprid,B9-0313/2021,1,2021-06-07,226,2021-08-14 15:52:48,2021-08-14 15:52:48
"Objection pursuant to Rule 112(2) and (3): Active substances, including flumioxazine",B9-0312/2021,1,2021-06-07,227,2021-08-14 15:52:49,2021-08-14 15:52:49
"The EU's Cybersecurity Strategy for the Digital Decade",B9-0305/2021,1,2021-06-07,228,2021-08-14 15:52:50,2021-08-14 15:52:50
Rule of Law situation in the European Union and the application of the conditionality regulation 2020/2092,B9-0317/2021,1,2021-06-07,229,2021-08-14 15:52:51,2021-08-14 15:52:51
European Parliament’s Scrutiny on the ongoing assessment by the Commission and the Council of the national recovery and resilience plans,B9-0331/2021,1,2021-06-07,230,2021-08-14 15:52:53,2021-08-14 15:52:53
Breach of the UN Convention of the Rights of the Child and the use of minors by the Moroccan authorities in the migratory crisis in Ceuta,B9-0323/2021,1,2021-06-07,231,2021-08-14 15:52:54,2021-08-14 15:52:54
"The situation in Sri Lanka, in particular the arrests under the Prevention of Terrorism Act",B9-0354/2021,1,2021-06-07,232,2021-08-14 15:52:55,2021-08-14 15:52:55
The listing of German NGOs as ‘undesirable organisations’ by Russia and the detention of Andrei Pivovarov,B9-0322/2021,1,2021-06-07,233,2021-08-14 15:52:57,2021-08-14 15:52:57
Human rights and political situation in Cuba,B9-0341/2021,1,2021-06-07,234,2021-08-14 15:52:58,2021-08-14 15:52:58
Systematic repression in Belarus and its consequences for European security following abductions from an EU civilian plane intercepted by Belarusian authorities,B9-0328/2021,1,2021-06-07,235,2021-08-14 15:52:59,2021-08-14 15:52:59
The situation in Afghanistan,B9-0321/2021,1,2021-06-07,236,2021-08-14 15:53:00,2021-08-14 15:53:00
"European Citizens' Initiative ‘End the cage age’",B9-0296/2021,1,2021-06-07,237,2021-08-14 15:53:02,2021-08-14 15:53:02
"Promoting gender equality in science, technology, engineering and mathematics (STEM) education and careers",A9-0163/2021,1,2021-06-07,238,2021-08-14 15:53:03,2021-08-14 15:53:03
Future EU financing of the radio network Euranet Plus,B9-0316/2021,1,2021-06-07,239,2021-08-14 15:53:04,2021-08-14 15:53:04
"Mobilisation of the European Union Solidarity Fund to provide assistance to Greece and France in relation to natural disasters and to Albania, Austria, Belgium, Croatia, Czechia, Estonia, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Montenegro, Portugal, Romania, Serbia, Spain in relation to a public health emergency",A9-0157/2021,1,2021-05-17,240,2021-08-16 12:45:33,2021-08-16 12:45:33
Draft amending budget No 2/2021: financing the COVID-19 response and including refinements and updates related to the final adoption of the Multiannual Financial Framework,A9-0160/2021,1,2021-05-17,241,2021-08-16 12:45:33,2021-08-16 12:45:33
Challenges of sport events organisers in the digital environment,A9-0139/2021,1,2021-05-17,242,2021-08-16 12:45:34,2021-08-16 12:45:34
Research Fund for Coal and Steel *,A9-0102/2021,1,2021-05-17,243,2021-08-16 12:45:35,2021-08-16 12:45:35
The impacts of climate change on vulnerable populations in developing countries,A9-0115/2021,1,2021-05-17,244,2021-08-16 12:45:36,2021-08-16 12:45:36
"Artificial intelligence in education, culture and the audiovisual sector",A9-0127/2021,1,2021-05-17,245,2021-08-16 12:45:37,2021-08-16 12:45:37
Creative Europe Programme ***II,A9-0161/2021,1,2021-05-17,246,2021-08-16 12:45:38,2021-08-16 12:45:38
A European Strategy for Energy System Integration,A9-0062/2021,1,2021-05-17,247,2021-08-16 12:45:39,2021-08-16 12:45:39
A European Strategy for Hydrogen,A9-0116/2021,1,2021-05-17,248,2021-08-16 12:45:41,2021-08-16 12:45:41
Human rights protection and the EU external migration policy,A9-0060/2021,1,2021-05-17,249,2021-08-16 12:45:42,2021-08-16 12:45:42
2019-2020 Reports on Turkey,A9-0153/2021,1,2021-05-17,250,2021-08-16 12:45:43,2021-08-16 12:45:43
2019-2020 Reports on Montenegro,A9-0131/2021,1,2021-05-17,251,2021-08-16 12:45:44,2021-08-16 12:45:44
The effects of climate change on human rights and the role of environmental defenders on this matter,A9-0039/2021,1,2021-05-17,252,2021-08-16 12:45:45,2021-08-16 12:45:45
Reversing demographic trends in EU regions using cohesion policy instruments,A9-0061/2021,1,2021-05-17,253,2021-08-16 12:45:47,2021-08-16 12:45:47
Impacts of EU rules on the free movements of workers and services: intra-EU labour mobility as a tool to match labour market needs and skills,A9-0066/2021,1,2021-05-17,254,2021-08-16 12:45:48,2021-08-16 12:45:48
Accelerating progress and tackling inequalities towards ending AIDS as a public health threat by 2030,B9-0263/2021,1,2021-05-17,255,2021-08-16 12:45:49,2021-08-16 12:45:49
Prisoners of war in the aftermath of the most recent conflict between Armenia and Azerbaijan,B9-0277/2021,1,2021-05-17,256,2021-08-16 12:45:50,2021-08-16 12:45:50
The situation in Haiti,B9-0282/2021,1,2021-05-17,257,2021-08-16 12:45:51,2021-08-16 12:45:51
The situation in Chad,B9-0289/2021,1,2021-05-17,258,2021-08-16 12:45:52,2021-08-16 12:45:52
Environment: The Aarhus Regulation ***I,A9-0152/2021,1,2021-05-17,259,2021-08-16 12:45:53,2021-08-16 12:45:53
Chinese countersanctions on EU entities and MEPs and MPs,B9-0269/2021,1,2021-05-17,260,2021-08-16 12:45:54,2021-08-16 12:45:54
"Data Protection Commissioner v Facebook Ireland Limited, Maximillian Schrems (“Schrems II”) – Case C-311/18",B9-0267/2021,1,2021-05-17,261,2021-08-16 12:45:55,2021-08-16 12:45:55
The right of information of the Parliament regarding the ongoing assessment of the national recovery and resilience plans,B9-0276/2021,1,2021-05-17,262,2021-08-16 12:45:56,2021-08-16 12:45:56
European Union Agency for Fundamental Rights: interim report,A9-0058/2021,1,2021-05-17,263,2021-08-16 12:45:57,2021-08-16 12:45:57
Liability of companies for environmental damage,A9-0112/2021,1,2021-05-17,264,2021-08-16 12:45:58,2021-08-16 12:45:58
New Avenues for Legal Labour Migration,A9-0143/2021,1,2021-05-17,265,2021-08-16 12:45:59,2021-08-16 12:45:59
Digital future of Europe: digital single market and use of AI for European consumers,A9-0149/2021,1,2021-05-17,266,2021-08-16 12:46:00,2021-08-16 12:46:00
The adequate protection of personal data by the United Kingdom,B9-0268/2021,1,2021-05-17,267,2021-08-16 12:46:01,2021-08-16 12:46:01
Representative actions for the protection of the collective interests of consumers ***I,A8-0447/2018,2,2019-03-26,268,2021-08-19 12:50:54,2021-08-19 12:50:54
Protocol to the EU-Israel Euro-Mediterranean Agreement (accession of Croatia) ***,A8-0164/2019,2,2019-03-26,269,2021-08-19 15:09:53,2021-08-19 15:09:53
Discontinuing seasonal changes of time***I,A8-0169/2019,2,2019-03-26,270,2021-08-19 15:09:54,2021-08-19 15:09:54
Common rules for the internal market for electricity ***I,A8-0044/2018,2,2019-03-26,271,2021-08-19 15:09:55,2021-08-19 15:09:55
Internal market for electricity ***I,A8-0042/2018,2,2019-03-26,272,2021-08-19 15:09:56,2021-08-19 15:09:56
